time,mu,sigma,theta,mu_bounded,sigma_bounded,P(00),P(01),P(10),P(11)
0.0,0.8,0.6,0.7853981633974483,0.8,0.6,0.07999999999999999,0.11999999999999997,0.32000000000000006,0.48
0.10050251256281408,0.7665750389990952,0.5801618590844618,0.7912210862911768,0.7665750389990952,0.5801618590844618,0.09800070166990188,0.13542425933100294,0.3218374392456363,0.4447375997534589
0.20100502512562815,0.7345939570482355,0.5608492666730535,0.7966504389509418,0.7345939570482355,0.5608492666730535,0.11655325839167045,0.14885278456009404,0.3225974749352761,0.4119964821129594
0.30150753768844224,0.703987703650709,0.5420623513859923,0.8017158695697126,0.703987703650709,0.5420623513859923,0.13555517495102715,0.1604571213982639,0.3223824736629805,0.38160522998772844
0.4020100502512563,0.6746977224772231,0.5237932198251644,0.8064390908322803,0.6746977224772231,0.5237932198251644,0.15491115016266238,0.17039112736011447,0.32129563001217326,0.3534020924650499
0.5025125628140704,0.6466675310965425,0.5060338251836389,0.8108408608633468,0.6466675310965425,0.5060338251836389,0.17453428810266175,0.17879818080079574,0.3194318867136993,0.3272356443828432
0.6030150753768845,0.619842378391187,0.4887762901498677,0.8149412684368829,0.619842378391187,0.4887762901498677,0.19434558964666018,0.18581203196215276,0.3168781202034721,0.30296425818771494
0.7035175879396985,0.5941692445574323,0.4720129069076845,0.8187597329761279,0.5941692445574323,0.4720129069076845,0.21427340085357974,0.191557354588988,0.31371369223873574,0.2804555523186965
0.8040201005025126,0.5695968411053085,0.45573613713630573,0.82231500455359,0.5695968411053085,0.45573613713630573,0.23425288584876117,0.1961502730459303,0.3100109770149331,0.25958586409037543
0.9045226130653267,0.5460756108586021,0.43993861201033,0.825625163891046,0.5460756108586021,0.43993861201033,0.25422552342489435,0.1996988657165035,0.30583586456477563,0.24023974629382652
1.0050251256281408,0.5235577279548544,0.42461313219973806,0.8287076223595413,0.5235577279548544,0.42461313219973806,0.2741386265996967,0.202303645445449,0.30124824120056537,0.22230948675428913
1.105527638190955,0.5019970978453624,0.40975266786989306,0.83157912197939,0.5019970978453624,0.40975266786989306,0.2939448843898255,0.20405801776481208,0.2963024477402814,0.20569465010508098
1.206030150753769,0.48134935729517825,0.3953503586815405,0.834255735420175,0.48134935729517825,0.3953503586815405,0.313601925081059,0.2050487176237628,0.29104771623740056,0.19030164105777775
1.306532663316583,0.4615718743831096,0.38139951379080805,0.8367528660007476,0.4615718743831096,0.38139951379080805,0.3330719002953123,0.20535622532157813,0.2855285859138797,0.17604328846922995
1.407035175879397,0.442623485224257,0.36789373319073854,0.8390854125259405,0.442623485224257,0.36789373319073854,0.35232118796205203,0.20505532681369093,0.2797850788472094,0.1628384063770476
1.5075376884422111,0.42445927916150133,0.35482823031819005,0.8412705710360293,0.42445927916150133,0.35482823031819005,0.37132262538731875,0.20421809545117992,0.27384914429449125,0.1506101348670101
1.6080402010050252,0.4070465770237506,0.34219060245180793,0.8433170314380445,0.4070465770237506,0.34219060245180793,0.3900503339421449,0.20290308903410448,0.2677590636060471,0.13928751341770346
1.7085427135678393,0.39035817502438314,0.32996633647765444,0.8452302325917076,0.39035817502438314,0.32996633647765444,0.40848054542486123,0.20116127955075572,0.2615531180974845,0.12880505692689875
1.8090452261306533,0.3743672826793083,0.3181416057147115,0.8470157304126212,0.3743672826793083,0.3181416057147115,0.4265929200446286,0.19903979727606305,0.2552654742406599,0.11910180843864844
1.9095477386934674,0.35904752280696595,0.30670326991488067,0.848679197872269,0.35904752280696595,0.30670326991488067,0.4443702565778875,0.19658222061514646,0.24892647350723177,0.11012104929973413
2.0100502512562817,0.344372931528327,0.2956388752629833,0.8502264249980154,0.344372931528327,0.2956388752629833,0.46179821935674065,0.19382884911493234,0.24256290538027606,0.10181002614805096
2.1105527638190957,0.33031795826689303,0.2849366543767604,0.8516633188731059,0.33031795826689303,0.2849366543767604,0.47886508126547744,0.19081696046762955,0.23619826435776217,0.09411969390913087
2.21105527638191,0.31685746574869644,0.27458552630687266,0.8529959036366668,0.31685746574869644,0.27458552630687266,0.4955614819412986,0.18758105231000496,0.22985299175182877,0.08700447399686768
2.311557788944724,0.30396673000230034,0.26457509653690037,0.8542303204837056,0.30396673000230034,0.26457509653690037,0.5118802003951638,0.18415306960253583,0.2235447030679358,0.08042202693436454
2.412060301507538,0.29162144035879883,0.2548956569833437,0.8553728276651105,0.29162144035879883,0.2548956569833437,0.5278159412885426,0.18056261835265872,0.21728840172811384,0.07433303863068502
2.512562814070352,0.2797976994518167,0.2455381859956223,0.8564298004876508,0.2797976994518167,0.2455381859956223,0.5433651341217084,0.1768371664264749,0.2110966798826693,0.0687010195691474
2.613065326633166,0.2684720232175095,0.23649434835607575,0.8574077313139769,0.2684720232175095,0.23649434835607575,0.5585257446090769,0.1730022321734136,0.20497990703484736,0.06349211618266215
2.71356783919598,0.2576213408945637,0.2277564952799631,0.8583132295626196,0.2576213408945637,0.2277564952799631,0.5732970975369437,0.16908156156849266,0.19894640718309323,0.05867493371147046
2.814070351758794,0.2472229950241963,0.21931766441546313,0.8591530217079913,0.2472229950241963,0.21931766441546313,0.587679710418843,0.16509729455696073,0.19300262516569391,0.0542203698585024
2.9145728643216082,0.23725474145015546,0.2111715798436745,0.8599339512803851,0.23725474145015546,0.2111715798436745,0.6016751372836019,0.16107012126624265,0.1871532828727236,0.050101458577431854
3.0150753768844223,0.2276947493187199,0.2033126520786153,0.860662978865975,0.2276947493187199,0.2033126520786153,0.6152858219510292,0.15701942873025088,0.1814015259703555,0.04629322334836443
