,Run,Event,Cluster,Bizarrice,E1,px1,py1,pz1,pt1,sigma,Prob_1,pz1_pt1
12471,166784,22067635,0,39.62936928587822,2.8614624571944636,-3.303494827012559,6.871725916629007,0.5708024048492751,17.331095515340202,-1.7197354641562679,6.831123997803802,0.13992870289264853
31225,160957,104643882,0,22.18648573074433,1.9520667008386132,-2.757983701241971,-2.734050978790458,1.9438896537373285,7.801183679881154,-1.6712851495046044,-2.7709657325010575,0.5550601342491442
27713,163589,40831326,0,19.06584474303,1.6030072931035133,-5.101981623225219,-0.2085691140074661,-0.9384562142626178,9.12679935678344,-1.7217250997190998,0.22870622108073227,-0.13659982084790792
5452,165617,129703476,0,18.048385666549553,1.1462832021778022,-3.6110799391398274,1.882516051743113,-0.3010275967500061,7.519298716961931,-1.7333402694913076,1.8438292347117071,-0.011010655573857485
28877,163589,48573691,0,14.194829130569996,0.7730548140356157,-2.3618046948185922,-1.769517217525925,0.20911800268963618,5.432153848533836,-1.7060768848870975,-1.8068022062810312,0.13630146179826239
19850,163589,2589591,0,13.646315132576586,1.5400412565684307,-2.282581418053095,0.7632075236666351,1.909246042424271,3.8682932021695193,-1.6335358477449293,0.724950351775038,0.9244594901746699
17493,166784,66059153,0,13.585438147129771,0.7982054256671152,-2.0315217381624335,-1.624465764250113,0.682772302732342,4.75637837472119,-1.705485371611661,-1.6618064308191183,0.3248027391657985
28902,163589,48807409,0,13.312597621408045,1.3058307348927907,-2.3906623255978614,-0.7316527150287739,1.59042584277193,4.092360826606854,-1.7005381696716468,0.751589037134129,0.7495379697040578
18854,166784,78060822,0,12.725694074833136,1.2981429296322589,-1.4977267307867432,-1.2066834840799987,1.6696581654705724,3.266502214673939,-1.6407415549184283,1.2264374662352302,0.9198015290359667
11663,166784,13277914,0,12.710037206314786,0.7719885933469749,-1.185211512473867,-1.8835090880914638,-0.7039878379764156,4.308627519571272,-1.7242524746232377,1.9030032716085474,-0.22945690862300652
22335,163589,15041754,0,12.076574196443195,0.7235266991317235,-1.975411892244013,-1.2488689547743352,0.7419955681577265,4.0382178399056885,-1.6938702018394531,1.2686067440908633,0.38607629629939116
20623,163589,6208588,0,11.540219620698048,0.6526053185655276,-2.431133601433297,0.8628985467261079,0.5306848825228078,4.236870255718213,-1.6981721165699004,-0.8423501581684709,0.2855047409937253
13024,166784,29900940,0,11.014394628362819,0.9570782098651224,-1.1775317050323135,1.179190359448569,1.3048705117454944,2.682992540499675,-1.7193052726832232,-1.1585205626851613,0.8349054664032598
3488,165617,109681844,0,10.641531015647425,0.6083827335458869,-2.739054598393072,-0.33511650631910633,0.23809537054546473,4.492627751052054,-1.7146269404138617,0.3552050383384902,0.15842207703949066
5386,165617,130238281,0,10.55146895574326,0.49632726700279184,-2.0548002649441326,1.0430955391424976,0.27842899674139165,3.7822116192205373,-1.7025278052344786,1.0047309325959115,0.18934653086151923
4782,165617,123418042,0,10.511353753718623,0.58231737538262,-1.3695155051446213,1.3184015107627425,0.6965532464877763,3.1951293445456326,-1.627459393188172,-1.2976782779778369,0.4242991002292212
17823,166784,69284049,0,10.421502864165513,0.5509327169572041,-1.3460604965017748,-1.3034160221303328,0.6270909797273992,3.249000994499914,-1.6201461381464117,-1.3408799232301924,0.3839755929722846
20016,163589,3064439,0,10.390937452607332,0.5194280595243952,-2.3159080249936825,-0.8377432658747833,0.12823032435093365,3.8937423278876913,-1.71903640301257,0.8576388652585586,0.11921018170472013
9321,166701,673810219,0,10.19194897268747,1.1445284625942829,-1.7811622927531001,-0.30882838266320645,-1.4850088325901072,2.6140390896977515,-1.684889954839644,0.3289270053450664,-0.8445649522043103
17451,166784,127208053,0,10.17962273694979,0.5337276133726055,-1.222773684081998,-1.3638980990473464,-0.5441250005437274,3.223077029474695,-1.667037008708288,-1.4013387841797216,-0.22364551754140852
12898,166784,24342655,0,9.91936463254563,0.4301645355986293,-1.8117221195479543,-1.1135137557205483,0.06291941292287413,3.5723100341101097,-1.7045174407973103,1.1333035009562555,0.0909138328919471
31012,160957,102209924,0,9.828200025243973,0.7494759926812824,-2.123497252636663,-0.2303744112928111,0.9506481761982931,3.2440038760781316,-1.7100561560127614,-0.26825019803576605,0.5518939623082645
17911,166784,69147039,0,9.756017656207442,0.6950751311984913,-1.5215290101886219,-0.7978623467653095,0.9680229273028393,2.638583759592976,-1.6762323514446194,0.8177732543886244,0.6409388753259603
33055,160957,127657676,0,9.420451532974623,1.0619219327835732,-1.701665753750987,-0.08759143051638463,1.4640569440667746,2.369191592728209,-1.6197697206074972,0.1077749747179612,1.0084791838032365
11492,166784,12056341,0,8.989395118987591,0.3535520545670498,-1.6086825847792372,-0.9554828514442769,0.22237813611967303,3.0106994965489506,-1.6827389974744205,0.9753332566394669,0.1805277414145166
35666,160957,165547443,0,8.788740794304147,0.54101017608358,-2.1780984632904348,0.08375716618669647,0.5929789839332122,3.3049415871491865,-1.6796201092948464,0.04576080044149229,0.3625735079246974
10528,166701,689595307,0,8.716574332216627,0.3948749914408297,-1.6298831799700042,0.7414969339806683,0.48494649855169797,2.6718564281796393,-1.7253817272399798,-0.7209951452760409,0.34713942757776667
14117,166784,36821180,0,8.644797840112664,0.3744790945776787,-1.7095789726863162,0.796869310416959,-0.30814605821000307,2.877654044993445,-1.68542769418095,-0.776346267096809,-0.11629639795050306
2545,165617,101091662,0,8.629614948487248,0.7581237900009594,-1.7832459173072948,0.09254242350041975,1.0681524941782186,2.522180295179696,-1.611273439014864,-0.0722897351505123,0.7218068541552816
11320,166784,9373666,0,8.553046099293216,0.32570244886762567,-1.1589327940526584,1.1338209094608607,0.3640990537112336,2.5718236141617004,-1.6050356626557156,-1.1131685277025154,0.2804630886809068
17152,166784,65331824,0,8.337430031290538,0.29758530439762015,-0.7079760951143604,1.3767278623224875,-0.19870025352222354,2.6256161242314735,-1.711669374036679,-1.3559822410425046,-0.06317277662318867
27887,163589,41849399,0,8.290966444252899,0.5265571808816539,-1.3551863166120863,-0.6827926135211363,-0.7408119373323198,2.2035518144532507,-1.6274593931881722,0.7027476905136532,-0.4518594977506255
16566,166784,59230845,0,8.262369673798114,0.3470071906720166,-1.3887007913403475,-0.7730083667571324,0.47201484300323965,2.386941538253544,-1.7225854826651892,-0.8106758641537521,0.3614355969528921
17924,166784,69648853,0,8.214387616449223,0.6152423489357216,-1.3618926273356962,-0.4757257221955253,0.950354274935828,1.961643798908286,-1.5981525990869996,0.4957602815481258,0.7556159635030414
2376,165617,98528579,0,8.143599076611116,0.6505436962745764,-1.0686196248511743,0.6452244042701698,1.0336796049220343,1.5986291486707163,-1.6027771574222305,-0.6247595696523289,0.9193658705478839
7453,165617,143494908,0,8.10822465046586,0.38572555892631244,-0.7401299516228061,-1.0613569277774224,0.6126055373575269,2.071727378258724,-1.6470331052117075,-1.0989137429495208,0.4907324483618408
10029,166701,684777590,0,8.071077898715386,0.5893028913703755,-1.5617213308241789,-0.24684000392751526,0.8916734302227869,2.1544850860583757,-1.6863418510611703,0.2669624207688767,0.6737508844821061
28443,163589,46233088,0,8.042150034663818,0.34651932585507395,-1.0880952521733047,-0.8997136050677357,0.532072269364738,2.148233035182254,-1.6832229628815962,0.9195854172164648,0.42470816692265
28428,163589,46365940,0,8.018239818720142,0.6270238908255182,-1.0268218885755,0.7265015640791642,-0.9412007334047537,1.6590581033413636,-1.608907385913118,-0.7060055313279995,-0.7227207212527247
18894,166784,79761282,0,7.894494691626401,0.25631548183858793,-0.8268394750789209,-1.2084288098399634,-0.13168212152543374,2.4779637111353736,-1.7206496210364879,-1.2459291716591696,-0.026686299512464314
35371,160957,161922842,0,7.888424382423875,0.3327332103827589,-1.6434438184620574,0.6032914871741745,-0.3346425536444362,2.542824499338461,-1.6981183426357698,-0.5828427484526628,-0.15052772233355446
30768,160957,98943483,0,7.8851031309769715,0.4234898367119905,-0.8823971035608474,-0.8624574394267357,0.7133315509126144,1.8106109821739218,-1.6854814681150807,-0.9000906019117839,0.6072441481639979
32616,160957,122008195,0,7.856057978004336,0.3159353165445599,-1.8113520769358706,0.46538369282286857,0.2561573319548924,2.7362762941690404,-1.635633031176022,0.4272408402259354,0.2080793941751473
24278,163589,24219600,0,7.838648727860041,0.3591408607966226,-0.837843973065965,0.9864152958576546,0.6059754706425085,1.8899317578463746,-1.6997315606596877,0.9480724459496,0.5115373630416282
8266,165617,158954456,0,7.838257064060018,0.3390577482314308,-1.8879679765269934,-0.4064403484220497,-0.19475851894328164,2.8816336506144116,-1.6321914993916642,-0.4442485524813424,-0.05195876944884467
8070,165617,155741955,0,7.7603277794788195,0.5809718127423427,-1.0011750890764655,-0.6484633636894825,-0.8910451863418911,1.5880583212400232,-1.6802653965044134,0.6684316179204224,-0.7019169919637784
