Run,Event,theta,mu,sigma,Prob_1
165617,74601703,-0.9806428059824543,9.5175,3.8402000000000003,0.3662
165617,75100943,-0.6878357342271499,4.291,3.6385000000000005,0.4565
165617,75587682,-0.2183691689629565,4.2622,3.6203000000000003,-0.6516
165617,75660978,-0.8984528137252734,6.3325,4.4162,-0.2685
165617,75947690,0.01415942550386521,5.534,4.2767,-5.5331
165617,74697773,-0.0352626830611297,12.5523,5.6936,-12.4648
165617,74704205,-0.300817379873045,7.4648,5.4918,6.0729
165617,75167029,0.24496257268777227,4.4744,3.1606000000000005,-3.7824
165617,75206813,0.04687198376432555,8.5297,0.3830999999999999,-8.5164
165617,75281957,0.17139964368506608,5.6769,3.3751,5.4313
165617,75330864,-0.22941702682245954,6.3451,3.4808000000000003,-5.6592
165617,75386136,0.448632102454124,8.9978,0.09840000000000004,6.2037
165617,75393376,0.5592766784713947,4.4318,3.353,2.8883
165617,74431562,-0.4858846865184816,14.1209,3.5722,5.8874
165617,74452546,-0.3091654220280551,4.4979,3.5736,2.5104
165617,74496866,-0.08182896284085424,4.2405,4.5961,4.2098
165617,74635178,0.41353835771938274,7.5393,4.5293,-1.88
165617,74642386,0.004070968735150054,8.0585,0.8579000000000001,8.0575
165617,74751994,0.18298852323727574,11.3235,3.0887,7.9203
165617,74783970,0.23839647937077146,6.3741,4.6391,3.8105
165617,74969122,-0.7701879283135732,54.7266,3.6289999999999996,-29.4115
165617,75075850,-0.26491092816478456,8.7273,2.8043000000000005,7.7837
165617,75215378,-0.4932915516006337,8.0573,0.03290000000000004,-6.6885
165617,75244714,0.7416941557967595,5.339,3.6025,2.5277
165617,75392933,-0.5267831921757187,4.9037,3.8993,-4.0764
165617,75447381,0.3270686616602422,5.8129,3.7161,-0.7634
165617,75548869,0.16886130128153362,6.7925,4.098599999999999,6.3023
165617,75783677,0.21572369119093096,6.1841,4.9514,4.6075
165617,75881501,-0.02020065868917516,7.2318,2.1420000000000003,-7.2267
165617,74593061,0.3446463481536428,5.8588,7.382300000000001,-1.9218
165617,74834701,0.9410623706489333,5.2996,3.5302,1.0133
165617,74889301,-0.9393473771410854,9.9902,4.0169999999999995,3.4129
165617,74949533,0.30109303850421854,4.658,3.9867999999999997,-3.5119
165617,75023853,0.5022069658324969,5.883,4.0523,-1.6178
165617,75022229,0.29319825250612236,8.9336,4.8797,6.9294
165617,75138253,-0.24319397580823113,24.5372,7.2951,6.666
165617,75261701,-0.03676471317622828,5.5416,4.2621,-5.5192
165617,75819664,0.2580773092758947,8.5645,5.4555,0.057
165617,75904120,-0.22661208622649637,5.1326,5.2081,-3.1588
165617,74551473,-0.377344418182624,5.1148,5.1792,-0.8557
165617,74721145,-0.044956950548433135,5.2089,3.9746000000000006,-5.1217
165617,74750601,-0.3396753082195521,5.7149,3.5183999999999997,3.2831
165617,75192945,0.859371032587898,10.2425,2.9164000000000003,1.1071
165617,75347644,0.1995289564793613,4.3538,4.6947,2.9522
165617,75881060,0.8958379977208123,9.7506,3.8623999999999996,4.2345
165617,75887636,0.04880456079724451,31.6042,5.006500000000001,-30.7098
165617,75903324,-0.10949854485666985,7.6306,4.4293,7.5537
165617,75930604,0.12140325305818488,3.975,6.194100000000001,3.2153
165617,74437584,-0.05285753438975998,6.6965,3.7982000000000005,-6.5235
165617,74865680,-0.07933026740326618,14.38,5.434200000000001,14.0917
165617,74956552,0.2555108281335301,6.2864,2.9658,3.4156
165617,75143536,0.4631004953844172,9.7072,4.2237,-1.975
165617,75233960,0.9096794690869024,8.6076,2.9945,0.9405
165617,75482563,-0.4820128699835831,6.5564,5.2124,4.3203
165617,75559659,0.06815723998263577,4.2976,6.3391,4.2338
165617,75678475,0.9485012304371893,15.1536,0.3471,1.6658
165617,74536954,-0.222446980228026,5.5132,6.068899999999999,2.0064
165617,74582674,0.46988497981122096,4.527,3.5644,3.9901
165617,74428554,-0.2850238020366786,12.7111,0.2773000000000001,11.0845
165617,74783010,-0.2557116889793316,4.3592,4.2654,2.4379
165617,74700210,-0.4301575418511921,16.0263,1.4533999999999998,2.3667
165617,75287554,0.1719571666230004,9.3053,0.13380000000000009,-9.1317
165617,75558085,-0.3785526989220893,4.5418,5.113300000000001,3.1373
165617,75798725,0.18886363567048153,10.0081,4.011,9.2842
165617,75851477,0.1707156415686188,4.386,4.3256,4.3216
165617,74499185,0.32513450325790355,4.0495,5.3529,-3.0433
165617,74763345,-0.7172178819319318,5.2072,3.4084,2.1618
165617,75078433,0.4736635975884738,5.4805,3.6754000000000002,3.1861
165617,75098377,0.2786540563080244,11.9639,3.3962,-3.79
165617,75120873,0.014097808524675216,8.6806,0.22730000000000006,8.6798
165617,75193169,0.14165829051909234,6.223,0.5149000000000001,5.5769
165617,75339316,0.5390001674681879,5.8779,3.1511,-3.5506
165617,75541644,0.12146001408120238,5.04,5.6357,3.83
165617,75726964,-0.052132571330094024,4.6468,3.839,-4.6209
165617,75789252,0.006165143395074015,13.7325,3.0336000000000003,13.7322
165617,75839572,0.28297203740762866,4.3168,2.4204999999999997,3.9543
165617,75833588,0.24270678290883252,46.6055,3.3011,14.9498
165617,74514347,-0.7620211282414561,11.2975,4.0648,7.2738
165617,74583987,-0.6983837290401318,13.8972,3.5228,-9.2122
165617,74981507,0.5074801049405863,16.3474,0.38270000000000004,-5.1293
165617,75023099,-0.019597237853951732,5.255,3.7682,5.2502
165617,75118067,-0.40369265119041237,5.7782,3.3073,5.2759
165617,75321094,-0.3821943261530123,5.0752,4.2802,-4.0416
165617,75655550,-0.13614274253821487,7.8247,1.0305,7.7376
165617,75659270,-0.3093376489788247,8.8656,4.0398000000000005,1.059
165617,75915190,-0.19859580725681247,2.3672,8.3644,-1.4696
165617,74460955,0.31055880317048645,12.2833,2.0025,-8.1053
165617,74579483,0.33118107550607656,7.7503,3.6211,-3.4307
165617,75235219,-0.7779772939078727,6.4925,3.166,-3.6496
165617,75564206,0.6123489902117597,8.8227,4.3319,2.76
165617,74699036,0.4783021550155283,4.5052,3.5336000000000003,0.3745
165617,74993724,0.0891231394726661,8.941,0.13539999999999996,-8.83
165617,75191572,-0.42650699686734717,4.5699,4.2458,3.7339
