Quadrante,Q2,py1,theta,mu,sigma,eta1
Controle,1,-47.729057709365016,0.2590398250587555,0.0299017846050482,0.1631635630741064,0.5096382453642243
Carga Invertida,-1,-41.90130569735884,0.5082485010657425,0.0026981124225608,0.8846004235827974,-1.9618239514265587
Momento Alto,1,-3.621641108417148,0.8141859471315477,0.0299056248498542,0.6126425927026322,-0.1504289184281937
Interação Total,-1,-4.087754840551187,0.659380782944427,0.030593617821431,0.4702660903162295,0.4359996507312518
